time,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,temperature_2m_media_movel_24h,relative_humidity_2m_media_movel_24h,wind_speed_10m_media_movel_24h,shortwave_radiation_media_movel_24h,indice_calor_c
2026-07-01 23:00:00,11.3,99,20.3,0.0,10.720833333333333,92.79166666666667,11.037500000000001,57.5,11.300000000000002
2026-07-02 00:00:00,10.6,98,17.6,0.0,10.825000000000001,92.91666666666667,11.379166666666668,57.5,10.6
2026-07-02 01:00:00,10.2,96,17.1,0.0,10.929166666666667,92.91666666666667,11.725,57.5,10.2
2026-07-02 02:00:00,9.9,94,14.4,0.0,11.029166666666667,92.83333333333333,12.008333333333333,57.5,9.899999999999999
2026-07-02 03:00:00,9.7,94,14.4,0.0,11.108333333333333,92.66666666666667,12.241666666666667,57.5,9.700000000000001
2026-07-02 04:00:00,9.3,93,13.6,0.0,11.166666666666666,92.45833333333333,12.458333333333334,57.5,9.300000000000002
2026-07-02 05:00:00,9.0,93,15.3,0.0,11.2125,92.25,12.737500000000002,57.5,9.000000000000002
2026-07-02 06:00:00,8.6,96,16.2,0.0,11.25,92.16666666666667,13.091666666666667,57.5,8.599999999999998
2026-07-02 07:00:00,8.3,97,16.3,0.0,11.2875,92.125,13.420833333333334,57.5,8.299999999999999
2026-07-02 08:00:00,8.1,98,17.0,1.0,11.299999999999999,92.125,13.7125,57.333333333333336,8.1
2026-07-02 09:00:00,8.2,98,17.0,18.0,11.2875,92.08333333333333,14.033333333333333,54.958333333333336,8.199999999999998
2026-07-02 10:00:00,8.1,98,19.3,58.0,11.204166666666667,92.20833333333333,14.366666666666665,51.416666666666664,8.1
2026-07-02 11:00:00,8.0,97,17.1,97.0,11.045833333333334,92.5,14.487499999999999,46.916666666666664,8.0
2026-07-02 12:00:00,7.7,92,19.3,133.0,10.8125,92.83333333333333,14.729166666666666,42.083333333333336,7.699999999999999
2026-07-02 13:00:00,7.5,88,19.5,141.0,10.529166666666667,93.20833333333333,15.0,38.833333333333336,7.5
