time,Temperatura_C,Umidade_Relativa_%,Velocidade_Vento_kmh,Radiacao_Solar_Wm2,Temperatura_C_MM24h,Umidade_Relativa_%_MM24h,Velocidade_Vento_kmh_MM24h,Radiacao_Solar_Wm2_MM24h,Indice_Calor_C
2026-07-07 23:00:00,6.5,86,9.2,0.0,7.958333333333333,78.29166666666667,10.016666666666667,157.16666666666666,6.5
2026-07-08 00:00:00,5.9,88,7.4,0.0,8.029166666666667,78.16666666666667,10.083333333333334,157.16666666666666,5.9
2026-07-08 01:00:00,5.8,88,9.6,0.0,8.1,78.08333333333333,10.195833333333335,157.16666666666666,5.8
2026-07-08 02:00:00,5.8,87,10.8,0.0,8.179166666666665,77.95833333333333,10.345833333333333,157.16666666666666,5.8
2026-07-08 03:00:00,5.0,88,8.1,0.0,8.25,77.79166666666667,10.391666666666666,157.16666666666666,5.0
2026-07-08 04:00:00,4.5,89,6.4,0.0,8.3125,77.625,10.291666666666666,157.16666666666666,4.5
2026-07-08 05:00:00,4.6,89,8.4,0.0,8.383333333333333,77.45833333333333,10.254166666666666,157.16666666666666,4.6
2026-07-08 06:00:00,4.6,89,10.0,0.0,8.454166666666667,77.29166666666667,10.220833333333333,157.16666666666666,4.6
2026-07-08 07:00:00,4.5,89,10.6,0.0,8.520833333333334,77.125,10.2,157.16666666666666,4.5
2026-07-08 08:00:00,4.5,89,10.1,4.0,8.583333333333334,76.95833333333333,10.125,157.16666666666666,4.5
2026-07-08 09:00:00,6.8,85,11.0,112.0,8.654166666666667,76.70833333333333,10.029166666666667,157.08333333333334,6.8
2026-07-08 10:00:00,9.5,79,8.5,288.0,8.725,76.54166666666667,9.904166666666667,156.95833333333334,9.5
2026-07-08 11:00:00,12.1,71,8.7,443.0,8.795833333333333,76.45833333333333,9.708333333333334,156.83333333333334,12.1
2026-07-08 12:00:00,14.4,64,8.8,548.0,8.875,76.45833333333333,9.454166666666666,156.58333333333334,14.4
2026-07-08 13:00:00,16.1,57,9.9,587.0,8.966666666666667,76.45833333333333,9.241666666666665,155.91666666666666,16.1
